country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
Brazil,CE,Alto Santo,2300705,1,7,5.83226,40.82585,0.14286
Brazil,RN,Alto do Rodrigues,2400703,1,4,6.88279,27.53114,0.25000
Brazil,PI,Altos,2200400,0,10,0.00000,24.67673,0.00000
Brazil,AM,Alvarães,1300029,0,2,0.00000,12.46805,0.00000
Brazil,RO,Alvorada D'Oeste,1100346,0,2,0.00000,13.87829,0.00000
Brazil,PI,Alvorada do Gurguéia,2200459,0,1,0.00000,18.45359,0.00000
Brazil,PR,Alvorada do Sul,4100806,0,2,0.00000,17.53463,0.00000
Brazil,RS,Alvorada,4300604,2,15,0.95100,7.13250,0.13333
Brazil,TO,Alvorada,1700707,0,1,0.00000,11.88778,0.00000
Brazil,MG,Além Paraíba,3101508,0,8,0.00000,22.62315,0.00000
Brazil,RR,Amajari,1400027,0,8,0.00000,62.51954,0.00000
Brazil,PR,Amaporã,4100905,0,16,0.00000,255.71360,0.00000
Brazil,MA,Amapá do Maranhão,2100550,0,2,0.00000,28.72738,0.00000
Brazil,AP,Amapá,1600105,0,6,0.00000,65.86892,0.00000
Brazil,PE,Amaraji,2600906,3,10,13.14118,43.80393,0.30000
Brazil,MA,Amarante do Maranhão,2100600,0,10,0.00000,24.13419,0.00000
Brazil,PI,Amarante,2200509,0,3,0.00000,17.04739,0.00000
Brazil,AM,Amaturá,1300060,2,89,17.33703,771.49792,0.02247
Brazil,SP,Americana,3501608,4,59,1.66947,24.62468,0.06780
Brazil,RS,Ametista do Sul,4300646,0,1,0.00000,13.49710,0.00000
Brazil,CE,Amontada,2300754,2,7,4.60278,16.10973,0.28571
Brazil,SE,Amparo de São Francisco,2800100,0,1,0.00000,42.12300,0.00000
Brazil,SP,Amparo,3501905,1,14,1.38514,19.39192,0.07143
Brazil,PR,Ampére,4101002,0,3,0.00000,15.66416,0.00000
Brazil,BA,Amélia Rodrigues,2901106,0,4,0.00000,15.93499,0.00000
Brazil,SP,Américo Brasiliense,3501707,0,12,0.00000,29.62670,0.00000
Brazil,SP,Américo de Campos,3501806,0,2,0.00000,33.50645,0.00000
Brazil,AL,Anadia,2700201,1,2,5.69963,11.39926,0.50000
Brazil,MA,Anajatuba,2100709,2,24,7.46185,89.54222,0.08333
Brazil,PA,Anajás,1500701,0,1,0.00000,3.41565,0.00000
Brazil,AM,Anamã,1300086,0,8,0.00000,58.76304,0.00000
Brazil,PA,Ananindeua,1500800,52,723,9.80026,136.26135,0.07192
Brazil,TO,Ananás,1701002,0,1,0.00000,10.47230,0.00000
Brazil,PA,Anapu,1500859,0,12,0.00000,43.02617,0.00000
Brazil,MA,Anapurus,2100808,0,10,0.00000,63.56471,0.00000
Brazil,ES,Anchieta,3200409,0,23,0.00000,78.59755,0.00000
Brazil,SP,Andradina,3502101,1,20,1.74957,34.99134,0.05000
Brazil,SP,Angatuba,3502200,1,2,3.96385,7.92770,0.50000
Brazil,PI,Angical do Piauí,2200608,0,3,0.00000,44.19564,0.00000
Brazil,RJ,Angra dos Reis,3300100,7,120,3.43499,58.88559,0.05833
Brazil,GO,Anhanguera,5201207,0,1,0.00000,87.03220,0.00000
Brazil,SP,Anhembi,3502309,0,3,0.00000,44.61630,0.00000
Brazil,GO,Anicuns,5201306,0,0,0.00000,0.00000,0.00000
Brazil,SC,Anita Garibaldi,4201000,0,1,0.00000,14.01935,0.00000
Brazil,AM,Anori,1300102,1,87,4.75964,414.08853,0.01149
Brazil,RS,Anta Gorda,4300703,0,2,0.00000,33.43922,0.00000
Brazil,CE,Antonina do Norte,2300804,0,1,0.00000,13.59989,0.00000
Brazil,SC,Antônio Carlos,4201208,4,18,46.98696,211.44133,0.22222
Brazil,RS,Antônio Prado,4300802,0,1,0.00000,7.66284,0.00000
Brazil,GO,Anápolis,5201108,1,49,0.25845,12.66402,0.02041
Brazil,PI,Anísio de Abreu,2200707,0,8,0.00000,80.97166,0.00000
Brazil,GO,Aparecida de Goiânia,5201405,3,72,0.51887,12.45289,0.04167
Brazil,SP,Aparecida,3502507,0,2,0.00000,5.53143,0.00000
Brazil,RJ,Aperibé,3300159,0,6,0.00000,51.02475,0.00000
Brazil,ES,Apiacá,3200508,0,3,0.00000,39.64583,0.00000
Brazil,SP,Apiaí,3502705,0,1,0.00000,4.10273,0.00000
Brazil,MA,Apicum-Açu,2100832,0,8,0.00000,46.40640,0.00000
Brazil,RN,Apodi,2401008,2,37,5.57958,103.22221,0.05405
Brazil,PR,Apucarana,4101408,2,25,1.48153,18.51907,0.08000
Brazil,CE,Apuiarés,2300903,0,10,0.00000,68.49315,0.00000
Brazil,AM,Apuí,1300144,0,12,0.00000,54.61248,0.00000
Brazil,SE,Aquidabã,2800209,0,1,0.00000,4.63757,0.00000
Brazil,CE,Aquiraz,2301000,2,112,2.49156,139.52735,0.01786
Brazil,SC,Arabutã,4201273,0,14,0.00000,328.09937,0.00000
Brazil,SE,Aracaju,2800308,13,1237,1.97865,188.27634,0.01051
Brazil,CE,Aracati,2301109,2,41,2.68287,54.99886,0.04878
Brazil,BA,Aracatu,2902005,0,2,0.00000,15.22649,0.00000
Brazil,BA,Araci,2902104,1,1,1.83895,1.83895,1.00000
Brazil,CE,Aracoiaba,2301208,0,21,0.00000,79.33809,0.00000
Brazil,ES,Aracruz,3200607,3,38,2.96384,37.54199,0.07895
Brazil,GO,Aragoiânia,5201801,0,2,0.00000,19.40241,0.00000
Brazil,MA,Araguanã,2100873,0,4,0.00000,25.93025,0.00000
Brazil,MG,Araguari,3103504,1,11,0.85275,9.38030,0.09091
Brazil,TO,Araguatins,1702208,0,15,0.00000,41.94514,0.00000
Brazil,TO,Araguaína,1702109,0,287,0.00000,159.02920,0.00000
Brazil,MA,Araioses,2100907,0,1,0.00000,2.15332,0.00000
Brazil,MA,Arame,2100956,0,1,0.00000,3.05801,0.00000
Brazil,SP,Arandu,3503109,2,10,31.46138,157.30691,0.20000
Brazil,AL,Arapiraca,2700300,5,40,2.15753,17.26020,0.12500
Brazil,PR,Arapongas,4101507,1,18,0.81283,14.63093,0.05556
Brazil,SC,Araquari,4201307,0,12,0.00000,31.47211,0.00000
Brazil,SC,Araranguá,4201406,0,9,0.00000,13.19107,0.00000
Brazil,SP,Araraquara,3503208,4,107,1.69440,45.32516,0.03738
Brazil,SP,Araras,3503307,2,37,1.48991,27.56340,0.05405
Brazil,CE,Ararendá,2301257,1,1,9.14495,9.14495,1.00000
Brazil,MA,Arari,2101004,1,28,3.35031,93.80863,0.03571
